supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,907,BLACK SUN MALLORCA,fabrics,300 tik roll,2024,22.96,0,60.15520000000001,0.0,
DATEKS,908,FORZA DIMOUT,fabrics,300,2022,9.89,12.67,25.911800000000003,33.1954,
DATEKS,909,322285 KINGDOM,fabrics,150,2018,11.664000000000001,15.664,30.559680000000004,41.039680000000004,
DATEKS,910,REFRESH,fabrics,305 lb,2021,32.121075,37.789500000000004,84.1572165,99.00849000000001,
DATEKS,912,GLISTER,fabrics,148,2023,13.824824999999997,16.264499999999998,36.22104149999999,42.612989999999996,
DATEKS,913,SUMMIT,fabrics,150,2018,13.7376,17.858880000000003,35.992512000000005,46.79026560000001,
DATEKS,914,CELESTIAL,fabrics,300,2020,24.992,32.4896,65.47904000000001,85.122752,
DATEKS,916,STONEWALL BLACKOUT,fabrics,138,2019,15.568000000000001,20.238400000000002,40.788160000000005,53.02460800000001,
DATEKS,917,ADITYA ANNUNAKI ASHUR  / ATEN DIMOUT FR,fabrics,150,2018,18,23.400000000000002,47.160000000000004,61.30800000000001,
DATEKS,918,PLATINUM LISO,fabrics,280,2024,16.48,25.44,43.177600000000005,66.6528,
DATEKS,919,KNOCKOUT  BL-OUT,fabrics,140,2019,18.400000000000002,23.92,48.208000000000006,62.67040000000001,
DATEKS,922,635513 HONEY,fabrics,150,2019,10.688,15.488,28.002560000000003,40.57856,
DATEKS,923,RIFT DIMOUT,fabrics,300,2024,15.600000000000001,0,40.87200000000001,0.0,
DATEKS,924,322305 MADRID,fabrics,145,2018,11.504000000000001,16.304,30.140480000000004,42.71648,
DATEKS,925,TURBINE,fabrics,140,2018,15.168000000000001,19.718400000000003,39.74016,51.66220800000001,
DATEKS,926,RE-JUVENATE,fabrics,300,2021,31.92,41.496,83.63040000000001,108.71952000000002,
DATEKS,928,DIM-OUT TERRANO,fabrics,280,2024,13.840000000000002,19.52,36.2608,51.1424,
DATEKS,929,329028 BLAZE,fabrics,320,2023,14.944,19.744,39.15328,51.72928,
DATEKS,930,65556,fabrics,320,2022,13.350000000000001,15.840000000000002,34.977000000000004,41.500800000000005,
DATEKS,931,322180 CESAR,fabrics,150,2018,11.216000000000001,15.216000000000001,29.385920000000002,39.86592,
DATEKS,932,LUCE DIMOUT,fabrics,295,2022,7.46,9.65,19.5452,25.283,
DATEKS,934,SOLARFLEX F.R.,fabrics,295,2020,25.873574999999995,30.4395,67.7887665,79.75149,
DATEKS,936,VELA,fabrics,138,2020,18.784000000000002,24.419200000000004,49.21408000000001,63.97830400000001,
DATEKS,937,FON RUBY,fabrics,300,2021,12.8,14.719999999999999,33.536,38.5664,
DATEKS,938,ASTRACAN DIM OUT,fabrics,280,2024,22.400000000000002,27.680000000000003,58.68800000000001,72.5216,
DATEKS,940,329335 EVALINA ,fabrics,280,2022,19.936000000000003,24.736000000000004,52.23232000000001,64.80832000000001,
DATEKS,941,329341 EASE,fabrics,290 igas roll,2023,20.512,25.312,53.741440000000004,66.31744,
DATEKS,942,680518 KUBIK,fabrics,150,2020,8.544,13.344000000000001,22.38528,34.96128,
DATEKS,943,680517 ASHLEY,fabrics,150,2020,8.544,13.344000000000001,22.38528,34.96128,
DATEKS,944,EFSUN DIMOUT,fabrics,300,2018,23.04,25.344,60.3648,66.40128,
DATEKS,945,43090,fabrics,295,2023,13.6,0,35.632,0.0,
DATEKS,946,METALLIC FR,fabrics,150,2020,20.518575,24.139499999999995,53.7586665,63.24548999999999,
DATEKS,948,LAGOON FR.,fabrics,145,2020,19.626074999999997,23.089499999999994,51.42031649999999,60.494489999999985,
DATEKS,950,UMBRA,fabrics,300,2020,25.040000000000003,32.55200000000001,65.60480000000001,85.28624000000002,
DATEKS,951,EQUATOR,fabrics,300,2020,25.008000000000003,32.510400000000004,65.52096000000002,85.17724800000002,
